dataset,estimator,sampling_condition,treatment,n,n_treated,n_control,n_pairs,match_rate,mean_pair_effect,std_pair_effect,normalized_pair_effect,final_allowed_distance,sufficient_pairs,observed_confounders,source_path,source_sha256,row_validation_status,admission_status,caveat_codes,selection_status
physionet,cross-run-consistent,outcome-downsampled,LAT_METABOLIC_DERANGEMENT,2276,,,806,0.5482993197278911,0.19230769230769232,0.6735391901081647,0.38461538461538464,2,True,"LAT_RENAL_DYSFUNCTION, LAT_RESPIRATORY_FAILURE, LAT_SHOCK",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,ROBUSTNESS_APPENDIX
physionet,cross-run-consistent,outcome-downsampled,LAT_RENAL_DYSFUNCTION,2276,,,703,1.0,0.24039829302987198,0.6734406790944473,0.48079658605974396,0,True,"ICUType_1, ICUType_2, ICUType_3, ICUType_4, LAT_CARDIAC_INJURY_STRAIN, LAT_INFLAMMATION_SEPSIS_BURDEN, LAT_SHOCK",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,ROBUSTNESS_APPENDIX
physionet,cross-run-consistent,outcome-downsampled,LAT_SHOCK,2276,,,587,0.3475429248075784,0.030664395229982964,0.6954852467695949,0.06132879045996593,1,False,"ICUType_1, ICUType_2, ICUType_3, ICUType_4, LAT_CARDIAC_INJURY_STRAIN, LAT_INFLAMMATION_SEPSIS_BURDEN",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,ROBUSTNESS_APPENDIX
physionet,cross-run-consistent,original,LAT_CARDIAC_INJURY_STRAIN,7993,,,2840,1.0,0.13380281690140844,0.5053970534196914,0.9397943018391545,0,True,"ICUType_1, ICUType_2, ICUType_3, ICUType_4",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,SUPPORTING_MAIN_TEXT[CausalForestDML];SECONDARY_APPENDIX[LinearDML];EXPLORATORY_APPENDIX[CausalPFN]
physionet,cross-run-consistent,original,LAT_COAG_HEME_DYSFUNCTION,7993,,,1763,0.5582647245091831,0.0017016449234259785,0.5278803990498591,0.011951887410319726,0,True,"LAT_INFLAMMATION_SEPSIS_BURDEN, LAT_SHOCK",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,SUPPORTING_MAIN_TEXT[CausalForestDML];SECONDARY_APPENDIX[LinearDML];EXPLORATORY_APPENDIX[CausalPFN]
physionet,cross-run-consistent,original,LAT_GLOBAL_SEVERITY,7993,,,1782,0.2869103203992916,0.09539842873176206,0.39350586438978574,0.6700524084824027,1,False,"Age, Gender, ICUType_1, ICUType_2, ICUType_3, ICUType_4, LAT_CHRONIC_BASELINE_RISK, LAT_INFLAMMATION_SEPSIS_BURDEN, Weight",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,SUPPORTING_MAIN_TEXT[CausalForestDML];SECONDARY_APPENDIX[LinearDML];EXPLORATORY_APPENDIX[CausalPFN]
physionet,cross-run-consistent,original,LAT_HEPATIC_DYSFUNCTION,7993,,,1133,1.0,0.13680494263018536,0.5668984755053758,0.9608804098796764,0,True,"ICUType_1, ICUType_2, ICUType_3, ICUType_4, LAT_CARDIAC_INJURY_STRAIN, LAT_INFLAMMATION_SEPSIS_BURDEN, LAT_SHOCK",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,SUPPORTING_MAIN_TEXT[CausalForestDML];SECONDARY_APPENDIX[LinearDML];EXPLORATORY_APPENDIX[CausalPFN]
physionet,cross-run-consistent,original,LAT_METABOLIC_DERANGEMENT,7993,,,3378,0.7572293207800942,0.07341622261693309,0.4493250875347667,0.5156554194878262,2,True,"LAT_RENAL_DYSFUNCTION, LAT_RESPIRATORY_FAILURE, LAT_SHOCK",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,SUPPORTING_MAIN_TEXT[CausalForestDML];SECONDARY_APPENDIX[LinearDML];EXPLORATORY_APPENDIX[CausalPFN]
physionet,cross-run-consistent,original,LAT_RENAL_DYSFUNCTION,7993,,,1841,1.0,0.15426398696360674,0.5367925210989728,1.0835079506152099,0,True,"ICUType_1, ICUType_2, ICUType_3, ICUType_4, LAT_CARDIAC_INJURY_STRAIN, LAT_INFLAMMATION_SEPSIS_BURDEN, LAT_SHOCK",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,SUPPORTING_MAIN_TEXT[CausalForestDML];SECONDARY_APPENDIX[LinearDML];EXPLORATORY_APPENDIX[CausalPFN]
physionet,cross-run-consistent,original,LAT_SHOCK,7993,,,2433,0.437589928057554,0.010275380189066995,0.42474020479438973,0.0721714532963203,1,False,"ICUType_1, ICUType_2, ICUType_3, ICUType_4, LAT_CARDIAC_INJURY_STRAIN, LAT_INFLAMMATION_SEPSIS_BURDEN",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,SUPPORTING_MAIN_TEXT[CausalForestDML];SECONDARY_APPENDIX[LinearDML];EXPLORATORY_APPENDIX[CausalPFN]
